,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0.428,0.399,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
1,0.024,0.024,0.024,0.327,0.478,0.024,0.024,0.024,0.024,0.024
2,0.020,0.020,0.020,0.020,0.816,0.020,0.020,0.020,0.020,0.020
3,0.025,0.120,0.025,0.329,0.025,0.025,0.025,0.025,0.025,0.374
4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.673,0.130
5,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023
6,0.023,0.023,0.023,0.352,0.023,0.023,0.023,0.023,0.023,0.464
7,0.026,0.026,0.383,0.026,0.026,0.026,0.026,0.151,0.026,0.286
8,0.025,0.437,0.025,0.025,0.025,0.025,0.025,0.025,0.364,0.025
9,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028
10,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
11,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.748,0.028,0.028
12,0.532,0.023,0.285,0.023,0.023,0.023,0.023,0.023,0.023,0.023
13,0.028,0.150,0.028,0.028,0.627,0.028,0.028,0.028,0.028,0.028
14,0.028,0.192,0.028,0.582,0.028,0.028,0.028,0.028,0.028,0.028
15,0.025,0.129,0.673,0.025,0.025,0.025,0.025,0.025,0.025,0.025
16,0.024,0.024,0.269,0.539,0.024,0.024,0.024,0.024,0.024,0.024
17,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
18,0.024,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024
19,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.747,0.028
20,0.206,0.097,0.371,0.023,0.189,0.023,0.023,0.023,0.023,0.023
21,0.547,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.140,0.165
22,0.717,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
23,0.027,0.027,0.027,0.324,0.462,0.027,0.027,0.027,0.027,0.027
24,0.756,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
25,0.024,0.024,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024
26,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.158,0.651
27,0.027,0.027,0.186,0.602,0.027,0.027,0.027,0.027,0.027,0.027
28,0.653,0.136,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
29,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027,0.027
30,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025,0.025
31,0.022,0.022,0.607,0.022,0.216,0.022,0.022,0.022,0.022,0.022
32,0.024,0.024,0.024,0.788,0.024,0.024,0.024,0.024,0.024,0.024
33,0.192,0.027,0.027,0.593,0.027,0.027,0.027,0.027,0.027,0.027
34,0.022,0.022,0.110,0.022,0.022,0.022,0.717,0.022,0.022,0.022
35,0.028,0.028,0.746,0.028,0.028,0.028,0.028,0.028,0.028,0.028
36,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027,0.027
37,0.023,0.023,0.023,0.023,0.023,0.023,0.790,0.023,0.023,0.023
38,0.017,0.017,0.017,0.017,0.313,0.017,0.017,0.017,0.550,0.017
39,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.751,0.028,0.028
40,0.016,0.016,0.016,0.226,0.016,0.016,0.016,0.016,0.016,0.648
41,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.777,0.025
42,0.028,0.028,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028
43,0.769,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
44,0.028,0.028,0.028,0.492,0.028,0.166,0.028,0.028,0.147,0.028
45,0.027,0.027,0.027,0.406,0.027,0.027,0.027,0.194,0.210,0.027
46,0.412,0.402,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
47,0.022,0.022,0.022,0.289,0.533,0.022,0.022,0.022,0.022,0.022
48,0.026,0.026,0.026,0.599,0.197,0.026,0.026,0.026,0.026,0.026
49,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.794
50,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.780
51,0.191,0.028,0.028,0.144,0.028,0.028,0.028,0.028,0.028,0.469
52,0.027,0.335,0.452,0.027,0.027,0.027,0.027,0.027,0.027,0.027
53,0.032,0.716,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
54,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
55,0.025,0.025,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025
56,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.757
57,0.024,0.024,0.024,0.783,0.024,0.024,0.024,0.024,0.024,0.024
58,0.025,0.025,0.025,0.395,0.025,0.406,0.025,0.025,0.025,0.025
59,0.579,0.026,0.026,0.213,0.026,0.026,0.026,0.026,0.026,0.026
60,0.027,0.027,0.604,0.027,0.027,0.027,0.027,0.027,0.027,0.184
61,0.021,0.021,0.564,0.021,0.021,0.021,0.021,0.021,0.021,0.264
