,label
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,1
496,0
497,0
498,1
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,0
606,1
607,1
608,1
609,0
610,1
611,0
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,1
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,1
669,1
670,1
671,0
672,1
673,1
674,0
675,0
676,1
677,0
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,1
687,1
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,1
809,0
810,0
811,0
812,0
813,1
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,0
831,1
832,1
833,1
834,0
835,0
836,1
837,1
838,1
839,1
840,1
841,0
842,0
843,1
844,0
845,1
846,0
847,0
848,1
849,1
850,0
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,0
881,0
882,1
883,1
884,1
885,1
886,1
887,0
888,1
889,1
890,0
891,1
892,0
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,0
912,1
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,0
921,0
922,0
923,1
924,0
925,0
926,1
927,1
928,0
929,1
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,0
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,0
969,1
970,0
971,1
972,1
973,0
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,0
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
1061,1
1062,0
1063,1
1064,1
1065,1
1066,0
1067,0
1068,1
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,1
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,1
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,1
1112,1
1113,1
1114,0
1115,1
1116,1
1117,1
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,0
1138,1
1139,0
1140,1
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,1
1149,0
1150,1
1151,1
1152,0
1153,0
1154,1
1155,0
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,1
1180,0
1181,1
1182,1
1183,0
1184,0
1185,1
1186,0
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,1
1210,1
1211,0
1212,0
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,0
1226,0
1227,0
1228,0
1229,0
1230,1
